"GeneSymbol","logFC","adj.P.Val","P.Value","Degree","Betweenness","Closeness","Centrality_Rank","Louvain_Module","Module_Size","Rank","Score","MCC_Hub","Is_MCC_Hub","Top_Centrality","Major_Module","Strong_DEG","Priority_Score","Direction","Validation_logFC","Direction_consistency","Validated_in_GSE19435"
"PHAX",-1.06166157186453,0.00344788639031168,0.000172792172214599,2,457,0.191417075656972,308,4,59,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"MAP2K5",1.41759441751724,0.00366344759414485,0.000187318200755008,1,0,0.191264395464612,383,3,67,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"CD160",1.45315999341995,0.00369990785509784,0.000190357521286608,9,76,0.293163904226297,118,6,101,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"RNA28SN5",-1.66778665151724,0.00379208745920508,0.000196946720108193,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"PLOD2",-1.09091424874384,0.00388932286556524,0.00020331430956534,1,0,0.190499879169836,442,4,59,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"GINS3",1.46832152424877,0.00390243803449574,0.000204413027404511,2,0,0.207205222295463,358,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"BEND7",-1.51155075801231,0.00392688520906619,0.000206441870257063,0,0,NA,932,434,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"TBC1D21",-1.53203815147783,0.00398589620736385,0.000210905486299946,0,0,NA,697,199,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"TLNRD1",1.40270747515271,0.0040025382981161,0.000211944449272477,1,0,0.218644556514367,389,7,31,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"LIMS1",-1.2198567670665,0.00418720009882515,0.000225712168948547,1,0,0.213247810717891,390,7,31,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"SAMD14",-1.89061702227833,0.00434069303580157,0.000237110965941184,0,0,NA,699,201,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"RAB11FIP4",1.57198147028571,0.00439226043707108,0.00024057880948324,0,0,NA,852,354,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"CHD1L",1.20532701860714,0.0044079283026171,0.000241810299000252,5,0,0.258275531494953,198,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"ZNF626",1.55054027014778,0.00444179326110293,0.000244138284301057,0,0,NA,554,56,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"TMEM8B",1.54013572420936,0.00445912801838974,0.000245374303313394,0,0,NA,764,266,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"HNRNPU",1.00875621011576,0.00458507414786338,0.000253858035964996,1,0,0.194615275769421,400,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",433.429414285714,"Consistent","Yes"
"TCTN3",1.48139797146059,0.00459115502679005,0.000254389123776959,1,0,0.121063103217397,540,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"UST",1.65283894722906,0.00463420127248261,0.000257755430603032,0,0,NA,923,425,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"MCM2",1.47800433476601,0.00485092809155063,0.000273404555899892,11,936,0.257932261806877,88,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"PPP2R5D",1.20796550430542,0.00500253137011855,0.000285973930243274,1,0,0.143732404156691,526,7,31,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",19.7867514285714,"Consistent","Yes"
"TADA1",1.34214180154926,0.00515961123228334,0.000297575342396727,1,0,0.228417877040363,497,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",16.1184501428571,"Consistent","Yes"
"PIM3",-1.62168337137931,0.00518515260924634,0.000300073474867855,0,0,NA,800,302,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",-41.4351214285715,"Consistent","Yes"
"PPIA",1.06936749899384,0.00523238696966498,0.000303930308510719,1,0,0.242360613542773,522,11,53,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"ZNF426",1.5459098939335,0.00524529361606801,0.000304960222517473,0,0,NA,656,158,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"FAM20A",-1.68902172507389,0.00525411323176434,0.00030558423593946,1,0,1.38888888888889,439,22,2,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"BLM",1.6442048852069,0.00558886258190392,0.00033061510562638,8,0,0.205678431203484,129,14,17,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"DARS2",1.35892642880049,0.00560682406059293,0.000332389900058441,4,651,0.198256211090054,207,12,32,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"POLR2M",-1.2421547205468,0.00570489456562575,0.000339653268373306,1,0,0.176990329681201,459,10,49,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",-22.7890385714286,"Consistent","Yes"
"PDCD1LG2",-1.1932568189963,0.00570595100607292,0.000339920639715936,11,62,0.316388364645189,92,6,101,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",-9.02529071428571,"Consistent","Yes"
"TXK",1.00562761799261,0.00574405851767189,0.000342975560600369,1,0,0.240902131142281,409,3,67,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",41.0708214285714,"Consistent","Yes"
"RADX",1.59586121325862,0.00582155378798904,0.000349556997369035,0,0,NA,939,441,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",18.8736114285714,"Consistent","Yes"
"DDX54",1.28181299397783,0.00582155378798904,0.00034948986498613,9,1,0.24747513226141,120,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"CEBPE",1.44690136230296,0.00592731774539439,0.000358041064716187,1,0,0.251359564368629,387,3,67,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"PPIL1",1.38549854350862,0.00615120638190739,0.000375106774382709,2,0,0.206735795264757,376,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"SPDL1",1.49109805847537,0.0062143399445745,0.000380773216734742,1,0,0.270806257634904,431,6,101,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"PPIE",1.15185346987685,0.00645399776408261,0.000400949463696994,7,1367,0.259712127819195,135,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"RRP1B",1.48172462562561,0.00694184589619982,0.000440929425347747,13,10,0.239802252151544,75,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"SPRED1",1.55868047314039,0.00695950550900722,0.000442787873527274,0,0,NA,610,112,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"TRIM6",-1.5846634780665,0.00710405813344756,0.000453037689186002,0,0,NA,664,166,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
"SCARF1",-1.32358788750616,0.00719711041153277,0.00046201941029763,1,0,0.268728088832822,419,6,101,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",-15.0421445428571,"Consistent","Yes"
"SNX25",1.58089455995074,0.00749206323224322,0.000485554096968019,0,0,NA,762,264,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",NA,NA,"No"
"MATK",1.41303716482759,0.00753070119971718,0.000490130962459626,2,0,0.282816955679249,359,3,67,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",262.897968571429,"Consistent","Yes"
"TCF7",1.38688165601108,0.00758003061838934,0.000493983490576155,2,212,0.207979133063051,323,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",7.24671494285714,"Consistent","Yes"
"MEAF6",1.24597678917488,0.00759037267816348,0.000495461010073426,6,469,0.241128904458726,157,10,49,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"CMPK2",-1.40255126990025,0.00763295845950378,0.00049872562101223,18,989.5,0.315612408667075,42,11,53,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"MMP9",-1.02859360857266,0.00770174214622524,0.000504524363244921,12,5900,0.364054614551215,77,3,67,NA,NA,NA,0,0,1,0,1,"Down_in_ATB12m",NA,NA,"No"
"GPATCH4",1.42560652141626,0.00775362801298459,0.00050923660511694,1,0,0.214017291475663,403,4,59,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",24.4326457142857,"Consistent","Yes"
"AGPAT4",1.39826749040887,0.0077565411318455,0.000509592156255777,1,0,0.20495214501662,469,3,67,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",36.1369714285715,"Consistent","Yes"
"DGKA",1.39855656477463,0.0079753234097618,0.00052835609978922,3,457,0.239937930467245,253,3,67,NA,NA,NA,0,0,1,0,1,"Up_in_ATB12m",NA,NA,"No"
"EVI2A",-1.68089473730665,0.00797651316022249,0.000528603802407241,0,0,NA,591,93,1,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",-596.807742857143,"Consistent","Yes"
"ZNF823",1.54617731717734,0.00801273241924056,0.000532439109097062,0,0,NA,647,149,1,NA,NA,NA,0,0,0,1,1,"Up_in_ATB12m",9.36906628571429,"Consistent","Yes"
"ERLIN1",-1.56237518826724,0.00804984780981462,0.000535849791748156,2,457,0.217001858729895,317,17,23,NA,NA,NA,0,0,0,1,1,"Down_in_ATB12m",NA,NA,"No"
