"Gene","GeneSymbol","EntrezID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_2376403","TSC22D3",1831,0.194045574538177,0.0721498548245614,1.57002716258672,0.121891738054646,0.417118437911823,-5.29779559125076
"ILMN_1690982","DDT",1652,0.158489437488916,0.0601783227894737,1.57008779614195,0.121877628263936,0.417118437911823,-5.29770487074284
"ILMN_1785109","RSPH10B",222967,-0.59743911133128,0.815478259982456,-1.56982068045464,0.121939797511363,0.417252667989508,-5.2981045077293
"ILMN_1687400","MAGEA4",4103,-0.525311216001232,0.555338399912281,-1.56957114874105,0.121997897197116,0.417330533969509,-5.29847778072343
"ILMN_1656724","OR14A16",284532,-0.309678247535714,0.195205725912281,-1.56958584311776,0.121994475218494,0.417330533969509,-5.29845580099955
"ILMN_2290251","FBF1",85302,-0.61176882191872,0.392753839508772,-1.569418762479,0.122033388953791,0.417391483356978,-5.29870570768727
"ILMN_1800958","TMEM237",65062,0.555352881848522,0.789638940824561,1.56906544480278,0.122115710815173,0.417571769322316,-5.29923409351343
"ILMN_1796968","INTS5",80789,0.347738404568965,-0.250681084333333,1.56900282914953,0.122130304702811,0.417571769322316,-5.29932772372043
"ILMN_1790106","PLP1",5354,-0.258458153394089,0.111029371947368,-1.56884090837111,0.122168050213171,0.417640357528827,-5.2995698306297
"ILMN_2048700","ATAD2",29028,0.445696126347291,-0.118149520754386,1.56868550124551,0.12220428611865,0.417733997081128,-5.29980217667936
"ILMN_1740407","CHSY3",337876,-0.251283713269704,0.143938405087719,-1.56858953374801,0.122226666933955,0.417780265303054,-5.2999456452128
"ILMN_2223836","CHORDC1",26973,-0.488200225834975,0.399467667175439,-1.56845006357984,0.122259198974083,0.417800754413205,-5.3001541346012
"ILMN_1722648","SF3B4",10262,0.115340123591133,0.030677034122807,1.56837572715424,0.122276541114448,0.417829786816415,-5.30026525075193
"ILMN_1665004","CASC3",22794,-0.161526237355911,0.0493946158245614,-1.56826164004908,0.12230316063277,0.417890514349009,-5.3004357757976
"ILMN_3245599","SNORD109A",338428,-0.416378864802956,0.313775491701754,-1.5681910077627,0.122319643329655,0.41791659968916,-5.30054134359183
"ILMN_2228463","DDC",1644,-0.216781964496305,0.107687412964912,-1.56798524567222,0.122367669969361,0.418050446316303,-5.30084885305338
"ILMN_3309244","MIR1271",100302203,-0.51445463446798,0.527194232385965,-1.56759757291954,0.122458197204511,0.418272211261215,-5.30142812580722
"ILMN_1654890","LENG8",114823,0.482531014778325,-0.319112431982456,1.56759349175628,0.122459150501156,0.418272211261215,-5.301434223311
"ILMN_3311140","LINC00293",497634,-0.341458455549261,0.23582606254386,-1.56745573976412,0.122491330727227,0.418312623822759,-5.30164002455539
"ILMN_2150196","LRRC25",126364,-0.214075251710591,0.188221612666667,-1.56744093018427,0.122494790795012,0.418312623822759,-5.30166214905628
"ILMN_1671263","CACNA1H",8912,0.582871448938424,0.639902834701754,1.56736183150943,0.122513272509798,0.418336059420926,-5.30178031383133
"ILMN_3243274","LINC00200",399706,-0.259726947204433,0.10945844477193,-1.56726367483153,0.122536210310306,0.418384135702022,-5.30192694158325
"ILMN_1684591","ZSCAN32",54925,0.161139858955665,0.000280388298245614,1.56706014931017,0.122583782262506,0.418516309096458,-5.30223094390674
"ILMN_1698386","NEK9",91754,-0.226427993607143,0.0973453643333333,-1.5666006644404,0.122691236475241,0.418707520530569,-5.30291713497277
"ILMN_1778132","C2CD2L",9854,0.673636023770936,0.0548883394561403,1.56638901731033,0.122740757245708,0.418749545324474,-5.30323314509456
"ILMN_1660282","POPDC2",64091,0.476650323109606,-0.675706830438596,1.56642326808789,0.122732742231016,0.418749545324474,-5.30318200794556
"ILMN_1761463","EFHD2",79180,-0.130073486230296,0.110390906070175,-1.56605514711685,0.122818908096755,0.41892538804924,-5.30373156681574
"ILMN_1658310","PCYT1A",5130,0.490871765729064,0.470646521403509,1.56591050435894,0.122852777811937,0.418981560646655,-5.30394746809131
"ILMN_2411282","QSOX1",5768,-0.189185208385468,0.180828274614035,-1.56580274565081,0.122878015581737,0.419036213280939,-5.30410830244463
"ILMN_1807515","CSTF2T",23283,0.694144495296798,-0.555106336157895,1.56555908033697,0.122935098859784,0.419109835011295,-5.30447194566109
"ILMN_1768469","TCN1",6947,-0.329662012020936,0.141680506561404,-1.5653077264557,0.122994005601933,0.419280395422943,-5.30484700886108
"ILMN_3186578","SPATA31D4",389761,-0.528139952655172,0.445355363070175,-1.56517188404857,0.123025850745135,0.419328422930177,-5.30504968611154
"ILMN_1657679","VAV3",10451,0.166091387737685,-0.0271519525263158,1.56464310016879,0.123149874954835,0.419630022652898,-5.3058384796282
"ILMN_1745688","HPD",3242,-0.652226840539409,-0.367265230701754,-1.56432727864879,0.123223997448122,0.41985230294851,-5.30630947801553
"ILMN_3310690","MIR510",574515,-0.321083607700739,0.180647820596491,-1.56414248630018,0.123267384309855,0.419969835413602,-5.3065850264812
"ILMN_1712886","GOLGA6L5P",374650,-0.588390320359606,-0.415385051350877,-1.56409192728998,0.123279257046261,0.419975672820731,-5.30666041108022
"ILMN_1664292","ZNF415",55786,0.629999317581281,-0.259658199263158,1.56398989975602,0.123303218889743,0.420001033562775,-5.30681252958201
"ILMN_1727099","FLJ37201",283011,-0.55749812065271,0.0278385042105263,-1.56391317005991,0.123321241826595,0.420001844008646,-5.30692692414402
"ILMN_1749327","MAPK13",5603,-0.232471478435961,0.145714504929825,-1.56369981260731,0.123371368171555,0.420074326227715,-5.30724498688724
"ILMN_1676663","TNFRSF11B",4982,-0.200014635246305,0.0767638731754386,-1.56367116347548,0.123378100261076,0.420074326227715,-5.3072876925677
"ILMN_1814316","RBFOX1",54715,-0.542616456977833,-0.201385421614035,-1.56338746469279,0.123444780844198,0.42018019919662,-5.30771054797896
"ILMN_1676075","KLHL12",59349,-0.172948686366995,0.0386388357192982,-1.56327436643729,0.123471371514683,0.420240422858687,-5.3078791022688
