"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneSymbol","EntrezID"
"ILMN_2387599",-2570.79214285714,5067.68364285714,-8.18197015877259,1.75750941822141e-06,0.00160763186258515,2.87760296308272,"RAB5IF","55969"
"ILMN_1738383",731.928142857143,1776.22478571429,8.26898597700872,1.56389668870921e-06,0.00160763186258515,2.93292787219758,"EEF2","1938"
"ILMN_1696843",295.753185714286,404.010592857143,8.1895541355953,1.7396614592107e-06,0.00160763186258515,2.88246240651145,"NPIPB13","613037"
"ILMN_1664912",265.2131,350.241178571429,8.33140552001438,1.43905550938756e-06,0.00160763186258515,2.97203879775275,"IL11RA","3590"
"ILMN_1731648",235.573671428571,543.422664285714,8.25279574523886,1.59812566567191e-06,0.00160763186258515,2.92270521024033,"FOXJ2","55810"
"ILMN_2299072",212.591742857143,443.120442857143,8.26268744574535,1.57711928050743e-06,0.00160763186258515,2.92895476542079,"LUC7L3","51747"
"ILMN_2105253",141.898914285714,258.278342857143,8.17291154518954,1.77908332919616e-06,0.00160763186258515,2.8717891916931,"PTGR2","145482"
"ILMN_1775522",119.514905714286,169.024147142857,8.18293115512415,1.75523709599934e-06,0.00160763186258515,2.87821912158991,"MAGED1","9500"
"ILMN_1689734",-108.475782857143,126.172922857143,-8.14605748018357,1.84471004456218e-06,0.00160763186258515,2.85449374862772,"IL1RN","3557"
"ILMN_2331163",81.6676142857143,173.859007142857,8.15251305111518,1.82870211273816e-06,0.00160763186258515,2.8586597756508,"CUL4A","8451"
"ILMN_2347349",70.1221671428572,103.890302142857,8.17182594190797,1.78168762893037e-06,0.00160763186258515,2.87109176581837,"CCNB1IP1","57820"
"ILMN_2293758",69.4482042857143,111.138569285714,8.15496963039784,1.82264937249339e-06,0.00160763186258515,2.86024371925295,"AKAP11","11215"
"ILMN_1706523",-66.8076614285714,80.8551221428571,-8.21294187413162,1.68582475533817e-06,0.00160763186258515,2.89740283620084,"FCGR2A","2212"
"ILMN_1655307",37.7894585714286,75.1015507142857,8.31392789785518,1.4729053309157e-06,0.00160763186258515,2.9611356863784,"FAM136A","84908"
"ILMN_2345739",28.7255842857143,39.694545,8.15176070771241,1.83056007656469e-06,0.00160763186258515,2.85817453037675,"CAPRIN2","65981"
"ILMN_2402168",102.491805714286,141.974697142857,8.11194604841834,1.93180691522263e-06,0.00165399952427386,2.8323927955501,"EXOSC10","5394"
"ILMN_1690999",47.7087871428571,88.8788635714286,8.09570038912507,1.97481461641094e-06,0.00166167030559833,2.82181520993593,"MED23","9439"
"ILMN_2174394",103.850468571429,182.309694285714,8.0541295871653,2.08956916642596e-06,0.0016996207338181,2.79459481296708,"MMS19","64210"
"ILMN_1778977",-4134.545,8429.18735714286,-8.02491144812669,2.17445531987286e-06,0.00172325997124478,2.7753299877861,"TYROBP","7305"
"ILMN_1663160",71.9983814285714,98.6655235714286,8.01994229728547,2.18925308315424e-06,0.00172325997124478,2.77204263388667,"ZNF337","26152"
"ILMN_2363591",-481.6819,876.995778571429,-7.99483932542267,2.2656618883158e-06,0.00173475853672922,2.75538676118234,"SDCBP","6386"
"ILMN_1772296",37.44395,51.2466835714286,7.98052414477546,2.31049945469335e-06,0.00173475853672922,2.74585192088781,"CTC1","80169"
"ILMN_1718977",-111.177111428571,135.342672857143,-7.96701466826343,2.35367910713344e-06,0.00174040305250657,2.73682920650322,"GADD45B","4616"
"ILMN_2372136",35.2633585714286,69.231995,7.95100382484624,2.40596702112456e-06,0.00175251356017823,2.726104951938,"P4HTM","54681"
